feature,mean_importance
OpenPorchSF,-0.03766059008311341
LotFrontage,-0.0016404442249033147
KitchenQual_Gd,-0.00010892321855914821
BsmtQual_TA,-8.840118864855695e-05
BsmtExposure_Mn,0.0
BsmtExposure_Gd,0.0
BsmtExposure_Av,0.0
BsmtCond_TA,0.0
BsmtCond_Po,0.0
BsmtCond_Gd,0.0
BsmtCond_Fa,0.0
BsmtQual_Gd,0.0
BsmtQual_Fa,0.0
Foundation_Wood,0.0
Foundation_Stone,0.0
BsmtExposure_No,0.0
BsmtFinType1_ALQ,0.0
BsmtFinType1_GLQ,0.0
Foundation_Slab,0.0
BsmtFinType1_LwQ,0.0
BsmtFinType1_Rec,0.0
BsmtFinType1_Unf,0.0
BsmtFinType2_ALQ,0.0
BsmtFinType2_BLQ,0.0
BsmtFinType2_GLQ,0.0
BsmtFinType2_LwQ,0.0
BsmtFinType2_Rec,0.0
BsmtFinType2_Unf,0.0
Heating_GasA,0.0
Heating_GasW,0.0
Heating_Grav,0.0
Heating_Wall,0.0
BsmtFinType1_BLQ,0.0
Foundation_PConc,0.0
Id,0.0
Foundation_CBlock,0.0
Exterior1st_WdShing,0.0
Exterior2nd_AsbShng,0.0
Exterior2nd_AsphShn,0.0
Exterior2nd_Brk Cmn,0.0
Exterior2nd_BrkFace,0.0
Exterior2nd_CmentBd,0.0
Exterior2nd_HdBoard,0.0
Exterior2nd_ImStucc,0.0
Exterior2nd_MetalSd,0.0
Exterior2nd_Other,0.0
Exterior2nd_Plywood,0.0
Exterior2nd_Stone,0.0
Exterior2nd_Stucco,0.0
Exterior2nd_VinylSd,0.0
HeatingQC_Ex,0.0
Exterior2nd_Wd Sdng,0.0
MasVnrType_BrkCmn,0.0
MasVnrType_BrkFace,0.0
MasVnrType_None,0.0
MasVnrType_Stone,0.0
ExterQual_Ex,0.0
ExterQual_Fa,0.0
ExterQual_Gd,0.0
ExterQual_TA,0.0
ExterCond_Ex,0.0
ExterCond_Fa,0.0
ExterCond_Gd,0.0
ExterCond_Po,0.0
ExterCond_TA,0.0
Foundation_BrkTil,0.0
Exterior2nd_Wd Shng,0.0
HeatingQC_Fa,0.0
HeatingQC_Po,0.0
Exterior1st_Wd Sdng,0.0
GarageQual_TA,0.0
GarageCond_Ex,0.0
GarageCond_Fa,0.0
GarageCond_Gd,0.0
GarageCond_Po,0.0
GarageCond_TA,0.0
PavedDrive_N,0.0
PavedDrive_P,0.0
PoolQC_Fa,0.0
Fence_GdPrv,0.0
Fence_GdWo,0.0
Fence_MnPrv,0.0
Fence_MnWw,0.0
MiscFeature_Gar2,0.0
MiscFeature_Othr,0.0
MiscFeature_Shed,0.0
SaleType_COD,0.0
SaleType_CWD,0.0
SaleType_Con,0.0
SaleType_ConLD,0.0
SaleType_ConLI,0.0
SaleType_ConLw,0.0
SaleType_New,0.0
SaleType_Oth,0.0
SaleType_WD,0.0
SaleCondition_Abnorml,0.0
SaleCondition_AdjLand,0.0
SaleCondition_Alloca,0.0
SaleCondition_Family,0.0
GarageQual_Po,0.0
HeatingQC_Gd,0.0
GarageQual_Gd,0.0
GarageQual_Ex,0.0
HeatingQC_TA,0.0
Electrical_FuseA,0.0
Electrical_FuseF,0.0
Electrical_FuseP,0.0
Electrical_Mix,0.0
Electrical_SBrkr,0.0
KitchenQual_Ex,0.0
KitchenQual_Fa,0.0
KitchenQual_TA,0.0
Functional_Maj1,0.0
Functional_Maj2,0.0
Functional_Min1,0.0
Functional_Min2,0.0
Functional_Mod,0.0
Functional_Sev,0.0
Functional_Typ,0.0
FireplaceQu_Ex,0.0
FireplaceQu_Fa,0.0
FireplaceQu_Gd,0.0
FireplaceQu_Po,0.0
FireplaceQu_TA,0.0
GarageType_2Types,0.0
GarageType_Attchd,0.0
GarageType_Basment,0.0
GarageType_BuiltIn,0.0
GarageType_CarPort,0.0
GarageType_Detchd,0.0
GarageFinish_Fin,0.0
GarageFinish_RFn,0.0
GarageQual_Fa,0.0
SaleCondition_Normal,0.0
Exterior1st_VinylSd,0.0
Exterior1st_Plywood,0.0
LandContour_Low,0.0
LandContour_Lvl,0.0
LotConfig_Corner,0.0
LotConfig_CulDSac,0.0
LotConfig_FR2,0.0
LotConfig_FR3,0.0
LotConfig_Inside,0.0
LandSlope_Gtl,0.0
LandSlope_Mod,0.0
LandSlope_Sev,0.0
Neighborhood_Blmngtn,0.0
LandContour_HLS,0.0
Neighborhood_Blueste,0.0
Neighborhood_BrkSide,0.0
Exterior1st_Stucco,0.0
Neighborhood_CollgCr,0.0
Neighborhood_Crawfor,0.0
Neighborhood_Edwards,0.0
Neighborhood_Gilbert,0.0
Neighborhood_IDOTRR,0.0
Neighborhood_MeadowV,0.0
Neighborhood_Mitchel,0.0
Neighborhood_NAmes,0.0
Neighborhood_NPkVill,0.0
Neighborhood_BrDale,0.0
LandContour_Bnk,0.0
LotShape_Reg,0.0
LotShape_IR3,0.0
Street,0.0
Alley,0.0
Utilities,0.0
MasVnrArea,0.0
BsmtFinSF2,0.0
BsmtUnfSF,0.0
LowQualFinSF,0.0
BsmtFullBath,0.0
BsmtHalfBath,0.0
HalfBath,0.0
BedroomAbvGr,0.0
KitchenAbvGr,0.0
TotRmsAbvGrd,0.0
WoodDeckSF,0.0
EnclosedPorch,0.0
3SsnPorch,0.0
ScreenPorch,0.0
PoolArea,0.0
MiscVal,0.0
MoSold,0.0
YrSold,0.0
MSZoning_FV,0.0
MSZoning_RH,0.0
LotShape_IR1,0.0
LotShape_IR2,0.0
Neighborhood_NWAmes,0.0
Neighborhood_NoRidge,0.0
Neighborhood_ClearCr,0.0
Neighborhood_OldTown,0.0
HouseStyle_1.5Unf,0.0
HouseStyle_1Story,0.0
HouseStyle_2.5Fin,0.0
HouseStyle_2.5Unf,0.0
HouseStyle_2Story,0.0
Neighborhood_NridgHt,0.0
HouseStyle_SLvl,0.0
RoofStyle_Flat,0.0
RoofStyle_Gable,0.0
RoofStyle_Gambrel,0.0
RoofStyle_Hip,0.0
HouseStyle_1.5Fin,0.0
RoofStyle_Mansard,0.0
RoofMatl_Membran,0.0
RoofMatl_Metal,0.0
RoofMatl_Tar&Grv,0.0
RoofMatl_WdShake,0.0
RoofMatl_WdShngl,0.0
Exterior1st_AsbShng,0.0
Exterior1st_BrkComm,0.0
Exterior1st_BrkFace,0.0
Exterior1st_CemntBd,0.0
Exterior1st_HdBoard,0.0
Exterior1st_MetalSd,0.0
RoofMatl_CompShg,0.0
BldgType_TwnhsE,0.0
HouseStyle_SFoyer,0.0
BldgType_Duplex,0.0
